id,name,village,lon,lat
389,Upper Grosvenor Street,Mayfair,-0.155757,51.51013
390,Buxton Street 1,Shoreditch,-0.068856,51.521776
392,Imperial College,Knightsbridge,-0.179702,51.499428
393,Snow Hill,Farringdon,-0.103604,51.517334
394,Aberdeen Place,St. John's Wood,-0.176268,51.524826
395,Cadogan Gardens,Chelsea,-0.159919,51.492462
396,Shouldham Street,Marylebone,-0.163609,51.51809
397,Devonshire Terrace,Bayswater,-0.17977,51.51348
398,Holland Park,Kensington,-0.200742,51.502319
399,Brick Lane Market,Shoreditch,-0.071653,51.522617
400,George Street,Marylebone,-0.154106,51.517703
401,Columbia Road,Shoreditch,-0.075375,51.528187
402,Penfold Street,Marylebone,-0.171681,51.522892
403,George Place Mews,Marylebone,-0.158249,51.516892
404,Palace Gate,Kensington Gardens,-0.1844,51.502042
405,Gloucester Road Station,South Kensington,-0.18267,51.494185
408,Paddington Green Police Station,Paddington,-0.170704,51.519943
409,Strata,Elephant & Castle,-0.099828,51.493146
410,Edgware Road Station,Marylebone,-0.169774,51.519968
411,Walworth Road,Elephant & Castle,-0.09968,51.493372
412,Cleaver Street,Kennington,-0.110121,51.488105
419,Chelsea Bridge,Pimlico,-0.149004,51.485821
420,Southwark Station 1,Southwark,-0.105312,51.504043
421,Southwark Station 2,Southwark,-0.104778,51.504044
423,Eaton Square (South),Belgravia,-0.153933,51.494561
424,Ebury Bridge,Pimlico,-0.149186,51.490491
425,Harrington Square 2,Camden Town,-0.139159,51.533379
426,Vincent Street,Pimlico,-0.129925,51.493072
